parameter,max,min
Active TB Prevalence (0-80%),-11.9092,-0.814
Chronic AIDS Mortality Misattribution (0-75%),-9.4012,-1.6255
TB Treatment Success (0-100%),-1.9762,-0.0671
Receiving TB Prophylaxis in SoC (100-0%),-1.7739,0.0352
30-day (acute) TB mortality (0-50%),-2.3272,-0.5761
Post-30-day (extended) TB mortality (0-25%),-3.0225,-1.504
Receiving TB Treatment in SoC (1-100%),-1.3884,0
TB Treatment Lag in SoC (0-12 mo),-1.7323,-0.6258
Active TB Incidence (0-25x),-2.092,-1.5625
Latent TB Prevalence (0-60%),-1.7641,-1.5715
Initial CD4 (10-50),-1.4125,-1.3429
